"coinPosition [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
8,2.51188643150958,50.0229199875225
8,2.81838293126445,50.0239728445655
8,3.16227766016838,50.0250689224541
8,3.54813389233575,50.0262132305522
8,3.98107170553497,50.0274203303399
8,4.46683592150963,50.02871593967
8,5.01187233627272,50.0301382062634
8,5.62341325190349,50.0317389523463
8,6.30957344480193,50.0335852353573
8,7.07945784384138,50.0357615414003
8,7.94328234724282,50.0383728694263
8,8.91250938133745,50.0415489078216
8,10,50.0454494655553
9,1,50.0167779338952
9,1.12201845430196,50.0172731734926
9,1.25892541179417,50.0178483596108
9,1.41253754462275,50.0185064768354
9,1.58489319246111,50.0192473005429
9,1.77827941003892,50.0200670417158
9,1.99526231496888,50.0209586282714
9,2.23872113856834,50.0219127960249
9,2.51188643150958,50.0229199875225
9,2.81838293126445,50.0239728445655
9,3.16227766016838,50.0250689224541
9,3.54813389233575,50.0262132305522
9,3.98107170553497,50.0274203303399
9,4.46683592150963,50.02871593967
9,5.01187233627272,50.0301382062634
9,5.62341325190349,50.0317389523463
9,6.30957344480193,50.0335852353573
9,7.07945784384138,50.0357615414003
9,7.94328234724282,50.0383728694263
9,8.91250938133745,50.0415489078216
9,10,50.0454494655553
10,1,50.0167779338952
10,1.12201845430196,50.0172731734926
10,1.25892541179417,50.0178483596108
10,1.41253754462275,50.0185064768354
10,1.58489319246111,50.0192473005429
10,1.77827941003892,50.0200670417158
10,1.99526231496888,50.0209586282714
10,2.23872113856834,50.0219127960249
10,2.51188643150958,50.0229199875225
10,2.81838293126445,50.0239728445655
10,3.16227766016838,50.0250689224541
10,3.54813389233575,50.0262132305522
10,3.98107170553497,50.0274203303399
10,4.46683592150963,50.02871593967
10,5.01187233627272,50.0301382062634
10,5.62341325190349,50.0317389523463
10,6.30957344480193,50.0335852353573
10,7.07945784384138,50.0357615414003
10,7.94328234724282,50.0383728694263
10,8.91250938133745,50.0415489078216
10,10,50.0454494655553
11,1,50.0167779338952
11,1.12201845430196,50.0172731734926
11,1.25892541179417,50.0178483596108
11,1.41253754462275,50.0185064768354
11,1.58489319246111,50.0192473005429
11,1.77827941003892,50.0200670417158
11,1.99526231496888,50.0209586282714
11,2.23872113856834,50.0219127960249
11,2.51188643150958,50.0229199875225
11,2.81838293126445,50.0239728445655
11,3.16227766016838,50.0250689224541
11,3.54813389233575,50.0262132305522
11,3.98107170553497,50.0274203303399
11,4.46683592150963,50.02871593967
11,5.01187233627272,50.0301382062634
11,5.62341325190349,50.0317389523463
11,6.30957344480193,50.0335852353573
11,7.07945784384138,50.0357615414003
11,7.94328234724282,50.0383728694263
11,8.91250938133745,50.0415489078216
11,10,50.0454494655553
12,1,50.0167779338952
12,1.12201845430196,50.0172731734926
12,1.25892541179417,50.0178483596108
12,1.41253754462275,50.0185064768354
12,1.58489319246111,50.0192473005429
12,1.77827941003892,50.0200670417158
12,1.99526231496888,50.0209586282714
12,2.23872113856834,50.0219127960249
12,2.51188643150958,50.0229199875225
12,2.81838293126445,50.0239728445655
12,3.16227766016838,50.0250689224541
12,3.54813389233575,50.0262132305522
12,3.98107170553497,50.0274203303399
12,4.46683592150963,50.02871593967
12,5.01187233627272,50.0301382062634
12,5.62341325190349,50.0317389523463
12,6.30957344480193,50.0335852353573
12,7.07945784384138,50.0357615414003
12,7.94328234724282,50.0383728694263
12,8.91250938133745,50.0415489078216
12,10,50.0454494655553
13,1,50.0167779338952
13,1.12201845430196,50.0172731734926
13,1.25892541179417,50.0178483596108
13,1.41253754462275,50.0185064768354
13,1.58489319246111,50.0192473005429
13,1.77827941003892,50.0200670417158
13,1.99526231496888,50.0209586282714
13,2.23872113856834,50.0219127960249
13,2.51188643150958,50.0229199875225
13,2.81838293126445,50.0239728445655
13,3.16227766016838,50.0250689224541
13,3.54813389233575,50.0262132305522
13,3.98107170553497,50.0274203303399
13,4.46683592150963,50.02871593967
13,5.01187233627272,50.0301382062634
13,5.62341325190349,50.0317389523463
13,6.30957344480193,50.0335852353573
13,7.07945784384138,50.0357615414003
13,7.94328234724282,50.0383728694263
13,8.91250938133745,50.0415489078216
13,10,50.0454494655553
14,1,50.0167779338952
14,1.12201845430196,50.0172731734926
14,1.25892541179417,50.0178483596108
14,1.41253754462275,50.0185064768354
14,1.58489319246111,50.0192473005429
14,1.77827941003892,50.0200670417158
14,1.99526231496888,50.0209586282714
14,2.23872113856834,50.0219127960249
14,2.51188643150958,50.0229199875225
14,2.81838293126445,50.0239728445655
14,3.16227766016838,50.0250689224541
14,3.54813389233575,50.0262132305522
14,3.98107170553497,50.0274203303399
14,4.46683592150963,50.02871593967
14,5.01187233627272,50.0301382062634
14,5.62341325190349,50.0317389523463
14,6.30957344480193,50.0335852353573
14,7.07945784384138,50.0357615414003
14,7.94328234724282,50.0383728694263
14,8.91250938133745,50.0415489078216
14,10,50.0454494655553
15,1,50.0167779338952
